"","IP.address","Number_of_Responses","Entries_Under_10min_Apart","Unique_User_Agents","Mean_Time_Taken_Seconds","Time_Taken_Range_Seconds","Avg_Questions_Answered","Prop_Duplicate_Responses","Unique_Response_Ratio","Hour_of_Day_STD","All_Mobile_User_Agents"
"1","104.28.116.100",2,1,2,348,"51-645",57,0,1,2.12132034355964,FALSE
"2","104.28.116.107",3,2,3,382.333333333333,"234-486",57.3333333333333,0,1,5.29150262212918,TRUE
"3","104.28.116.109",3,2,2,681.333333333333,"500-861",58.3333333333333,0,1,3.05505046330389,TRUE
"4","104.28.116.129",9,8,5,559.111111111111,"246-1563",57.7777777777778,0,1,4.82182538049648,FALSE
"5","104.28.116.130",10,3,6,561.1,"72-950",57.6,0,1,2.94580681270476,FALSE
"6","104.28.116.131",12,11,7,481,"68-1372",57.75,0,1,4.25245027405769,FALSE
"7","104.28.116.132",4,3,3,537,"293-977",57.75,0,1,3.30403793359983,TRUE
"8","104.28.116.133",8,1,5,725.625,"18-1991",58.25,0,1,3.16227766016838,TRUE
"9","104.28.116.134",10,3,5,544.4,"294-936",58.5,0,1,2.88482620312251,FALSE
"10","104.28.116.135",9,8,4,544.444444444444,"285-1244",58,0,1,3.86580450158107,FALSE
"11","104.28.116.136",10,4,6,586.2,"250-1300",57.3,0,1,4.16466618643613,FALSE
"12","104.28.116.28",2,1,2,1695.5,"833-2558",57.5,0,1,0.707106781186548,TRUE
"13","104.28.116.29",3,2,3,551.666666666667,"276-960",57.6666666666667,0,1,5.5075705472861,FALSE
"14","104.28.116.88",3,2,3,451,"234-683",58,0,1,6.80685928555405,TRUE
"15","104.28.116.92",2,1,1,402,"230-574",57,0,1,3.53553390593274,TRUE
"16","104.28.116.96",2,1,2,307.5,"301-314",57.5,0,1,2.12132034355964,FALSE
"17","107.77.205.110",2,1,2,560.5,"469-652",57.5,0,1,4.24264068711928,FALSE
"18","107.77.205.189",2,1,2,190.5,"136-245",57,0,1,2.82842712474619,FALSE
"19","107.77.205.197",2,1,2,566.5,"512-621",58,0,1,2.82842712474619,TRUE
"20","107.77.205.71",2,1,2,678,"603-753",58,0,1,2.12132034355964,FALSE
"21","12.39.134.2",2,1,2,162,"44-280",56.5,0,1,2.12132034355964,FALSE
"22","135.26.151.62",2,1,2,587.5,"442-733",58,0,1,3.53553390593274,TRUE
"23","146.75.136.223",8,7,7,335.625,"232-498",57.875,0,1,3.97986001189561,FALSE
"24","146.75.136.230",2,1,2,337.5,"280-395",58,0,1,0.707106781186548,TRUE
"25","146.75.136.236",2,1,2,370.5,"54-687",56.5,0,1,0.707106781186548,TRUE
"26","146.75.136.237",4,3,2,422.5,"289-685",58.25,0,1,2.08166599946613,TRUE
"27","15.181.1.224",2,1,2,956,"500-1412",57,0,1,7.07106781186548,TRUE
"28","15.220.1.201",2,1,2,155.5,"152-159",57.5,0,1,2.82842712474619,FALSE
"29","152.157.116.209",2,1,2,424,"323-525",57.5,0,1,1.4142135623731,FALSE
"30","166.198.252.11",2,1,2,289,"268-310",59,0,1,0.707106781186548,TRUE
"31","166.198.252.113",2,1,2,355,"257-453",57.5,0,1,2.82842712474619,TRUE
"32","166.198.252.142",2,1,2,300.5,"280-321",57.5,0,1,7.07106781186548,TRUE
"33","166.198.252.27",2,1,2,301,"230-372",58,0,1,7.07106781186548,TRUE
"34","166.198.252.34",2,1,2,1237.5,"666-1809",58,0,1,2.82842712474619,TRUE
"35","168.103.157.115",2,1,2,666.5,"304-1029",57.5,0,1,6.36396103067893,FALSE
"36","169.204.230.226",6,5,5,235.166666666667,"69-355",58.5,0,1,3.31159578853861,FALSE
"37","172.224.243.19",2,1,2,607,"456-758",57.5,0,1,8.48528137423857,TRUE
"38","172.56.105.19",2,1,2,530,"521-539",57,0,1,0,FALSE
"39","172.56.106.56",2,1,1,876,"776-976",57.5,0,1,0,TRUE
"40","172.56.106.60",2,1,2,634,"538-730",56.5,0,1,2.12132034355964,TRUE
"41","172.56.107.66",2,1,2,605,"209-1001",57,0,1,3.53553390593274,TRUE
"42","172.56.108.148",2,1,2,327,"33-621",57,0,1,2.82842712474619,TRUE
"43","172.56.109.122",2,1,2,549.5,"504-595",59.5,0,1,2.12132034355964,TRUE
"44","172.56.109.82",2,1,2,211,"181-241",57.5,0,1,4.24264068711928,FALSE
"45","174.201.249.108",3,2,1,147.666666666667,"109-208",56.6666666666667,0,1,0,TRUE
"46","174.21.156.189",2,1,2,600,"411-789",58,0,1,1.4142135623731,FALSE
"47","174.21.83.125",2,1,2,428.5,"398-459",57,0,1,0,TRUE
"48","208.70.146.125",3,2,3,312,"269-351",57.3333333333333,0,1,4,TRUE
"49","208.70.150.195",2,1,2,381.5,"322-441",58.5,0,1,6.36396103067893,TRUE
"50","208.70.151.137",2,1,2,527.5,"425-630",57.5,0,1,4.94974746830583,TRUE
"51","208.70.151.96",2,1,1,427,"417-437",58,0,1,9.19238815542512,TRUE
"52","209.166.69.49",15,14,13,389.866666666667,"198-849",57.4,0,1,4.23702501200795,FALSE
"53","209.166.69.54",5,4,5,403.6,"291-513",57.4,0,1,3.43511280746353,FALSE
"54","209.166.87.82",20,7,18,536.65,"244-1045",57.7,0,1,3.99044912391153,FALSE
"55","216.122.12.227",2,1,2,1890.5,"281-3500",59,0,1,2.12132034355964,FALSE
"56","216.122.13.116",6,2,5,332.166666666667,"73-523",57.3333333333333,0,1,3.01662062579967,FALSE
"57","216.122.13.236",2,1,2,647.5,"532-763",56,0,1,0.707106781186548,TRUE
"58","216.122.8.92",3,1,2,444.333333333333,"263-567",58.6666666666667,0,1,1.52752523165195,TRUE
"59","216.160.67.109",2,1,2,230,"195-265",57,0,1,0,FALSE
"60","216.243.32.110",4,3,2,304.75,"158-544",60.25,0,1,0,FALSE
"61","24.113.12.80",3,2,3,250.333333333333,"36-369",57.3333333333333,0,1,3.05505046330389,TRUE
"62","24.113.12.89",3,2,2,128,"18-320",56.6666666666667,0,1,1,FALSE
"63","24.113.125.226",14,12,2,423.357142857143,"220-1041",57.7142857142857,0,1,2.17503315624595,FALSE
"64","24.113.125.227",9,2,7,535.555555555556,"225-929",58.2222222222222,0,1,1,TRUE
"65","24.113.128.101",2,1,2,337,"306-368",57,0,1,2.12132034355964,FALSE
"66","24.113.128.186",2,1,2,1757.5,"286-3229",58.5,0,1,1.4142135623731,TRUE
"67","24.113.128.195",2,1,1,350.5,"301-400",58,0,1,1.4142135623731,FALSE
"68","24.113.129.160",3,2,3,485,"337-743",58,0,1,3.51188458428425,FALSE
"69","24.113.129.164",2,1,2,491.5,"485-498",57,0,1,1.4142135623731,FALSE
"70","24.113.129.191",2,1,2,212.5,"194-231",57,0,1,4.24264068711928,FALSE
"71","24.113.130.219",2,1,2,237,"215-259",59,0,1,0,TRUE
"72","24.113.130.29",2,1,2,739,"568-910",57,0,1,0,FALSE
"73","24.113.131.133",2,1,2,171.5,"140-203",58,0,1,2.82842712474619,FALSE
"74","24.113.131.154",2,1,2,561,"514-608",58.5,0,1,1.4142135623731,FALSE
"75","24.113.131.206",2,1,2,434.5,"278-591",58,0,1,0,FALSE
"76","24.113.131.222",2,1,2,610,"415-805",58,0,1,0.707106781186548,FALSE
"77","24.113.131.91",3,2,3,419.333333333333,"197-748",58,0,1,2.64575131106459,FALSE
"78","24.113.134.133",2,1,2,535,"406-664",58,0,1,7.77817459305202,TRUE
"79","24.113.134.82",2,1,2,392.5,"321-464",59,0,1,4.94974746830583,TRUE
"80","24.113.144.253",3,2,3,746.333333333333,"189-1524",57.6666666666667,0,1,1.15470053837925,FALSE
"81","24.113.144.99",2,1,2,589.5,"554-625",57,0,1,0.707106781186548,FALSE
"82","24.113.145.25",2,1,2,353.5,"283-424",57.5,0,1,0.707106781186548,FALSE
"83","24.113.146.16",2,1,2,333,"277-389",57.5,0,1,6.36396103067893,FALSE
"84","24.113.146.162",2,1,1,520.5,"459-582",58,0,1,0,TRUE
"85","24.113.146.201",2,1,2,291,"238-344",58,0,1,7.07106781186548,FALSE
"86","24.113.147.234",2,1,2,423.5,"254-593",57,0,1,0,FALSE
"87","24.113.147.7",2,1,2,409.5,"203-616",58,0,1,4.24264068711928,FALSE
"88","24.113.148.107",2,1,2,316,"231-401",58,0,1,0,FALSE
"89","24.113.148.128",2,1,2,154,"124-184",58,0,1,0.707106781186548,FALSE
"90","24.113.148.152",2,1,2,521.5,"515-528",57,0,1,2.82842712474619,FALSE
"91","24.113.148.164",2,1,2,443.5,"276-611",59.5,0,1,2.82842712474619,FALSE
"92","24.113.148.94",2,1,2,260.5,"222-299",58,0,1,3.53553390593274,TRUE
"93","24.113.149.129",2,1,2,907,"810-1004",57,0,1,0.707106781186548,FALSE
"94","24.113.149.183",2,1,2,466.5,"305-628",59,0,1,2.12132034355964,TRUE
"95","24.113.149.193",2,1,2,1588,"358-2818",56.5,0,1,7.77817459305202,FALSE
"96","24.113.150.152",2,1,1,475,"382-568",58,0,1,0,FALSE
"97","24.113.150.37",2,1,2,860.5,"785-936",57.5,0,1,0.707106781186548,TRUE
"98","24.113.150.47",2,1,1,391.5,"312-471",59,0,1,4.94974746830583,TRUE
"99","24.113.151.175",2,1,2,801,"789-813",57.5,0,1,0,TRUE
"100","24.113.151.247",2,1,2,360.5,"330-391",59.5,0,1,0,TRUE
"101","24.113.151.28",2,1,2,491.5,"411-572",57,0,1,2.12132034355964,TRUE
"102","24.113.151.32",2,1,2,1221,"536-1906",56.5,0,1,0,FALSE
"103","24.113.152.108",2,1,2,337.5,"307-368",59,0,1,2.82842712474619,TRUE
"104","24.113.152.131",2,1,1,840.5,"453-1228",58,0,1,2.82842712474619,TRUE
"105","24.113.152.192",2,1,2,953.5,"574-1333",57.5,0,1,4.24264068711928,FALSE
"106","24.113.152.217",2,1,2,227.5,"224-231",58.5,0,1,2.82842712474619,TRUE
"107","24.113.152.89",2,1,2,270.5,"255-286",58.5,0,1,11.3137084989848,TRUE
"108","24.113.153.101",4,3,4,837,"334-1431",57.75,0,1,0.957427107756338,FALSE
"109","24.113.153.168",2,1,2,231.5,"159-304",59,0,1,0,TRUE
"110","24.113.153.214",2,1,2,439.5,"346-533",57.5,0,1,1.4142135623731,TRUE
"111","24.113.153.245",3,2,3,382.333333333333,"47-790",58,0,1,3.78593889720018,FALSE
"112","24.113.154.154",2,1,1,467,"425-509",56.5,0,1,0.707106781186548,TRUE
"113","24.113.154.232",2,1,2,530.5,"501-560",58,0,1,2.82842712474619,FALSE
"114","24.113.154.244",2,1,2,359.5,"271-448",57,0,1,1.4142135623731,TRUE
"115","24.113.154.251",2,1,2,463.5,"377-550",58.5,0,1,7.77817459305202,FALSE
"116","24.113.155.143",3,2,2,461.666666666667,"281-701",58.6666666666667,0,1,0,TRUE
"117","24.113.155.168",2,1,2,1766,"625-2907",58,0,1,0,TRUE
"118","24.113.155.189",2,1,2,498,"93-903",57.5,0,1,8.48528137423857,TRUE
"119","24.113.155.28",4,3,4,594.5,"387-1110",57.5,0,1,6.23832242407097,FALSE
"120","24.113.155.61",2,1,2,336,"260-412",58,0,1,4.94974746830583,TRUE
"121","24.113.156.87",2,1,2,680.5,"656-705",58,0,1,0,TRUE
"122","24.113.157.100",2,1,2,395,"176-614",59,0,1,2.82842712474619,FALSE
"123","24.113.157.172",2,1,2,455.5,"323-588",58.5,0,1,1.4142135623731,FALSE
"124","24.113.157.52",2,1,2,1572.5,"872-2273",57,0,1,0,FALSE
"125","24.113.157.65",2,1,2,494.5,"463-526",57,0,1,2.12132034355964,TRUE
"126","24.113.158.143",2,1,1,895,"579-1211",57,0,1,1.4142135623731,FALSE
"127","24.113.158.172",2,1,2,535.5,"451-620",56.5,0,1,3.53553390593274,TRUE
"128","24.113.158.200",2,1,1,287.5,"262-313",58,0,1,3.53553390593274,FALSE
"129","24.113.158.247",2,1,2,1097,"980-1214",57,0,1,10.6066017177982,FALSE
"130","24.113.159.118",2,1,2,363.5,"270-457",58,0,1,2.12132034355964,FALSE
"131","24.113.159.147",2,1,2,409,"363-455",57.5,0,1,11.3137084989848,FALSE
"132","24.113.159.199",2,1,2,531.5,"351-712",58,0,1,0,FALSE
"133","24.113.159.223",2,1,1,477,"445-509",58,0,1,0,TRUE
"134","24.113.160.13",3,2,3,664.333333333333,"478-818",58.3333333333333,0,1,1.52752523165195,FALSE
"135","24.113.160.180",2,1,1,1142,"766-1518",58,0,1,4.94974746830583,FALSE
"136","24.113.160.20",2,1,1,306.5,"244-369",59,0,1,2.12132034355964,TRUE
"137","24.113.160.212",2,1,1,707,"338-1076",58,0,1,0.707106781186548,FALSE
"138","24.113.160.245",2,1,2,274,"249-299",57.5,0,1,0.707106781186548,FALSE
"139","24.113.160.57",2,1,2,723,"347-1099",58.5,0,1,1.4142135623731,TRUE
"140","24.113.161.118",2,1,2,333,"298-368",58,0,1,3.53553390593274,FALSE
"141","24.113.161.158",2,1,1,265,"263-267",57,0,1,0,TRUE
"142","24.113.161.183",2,1,1,279,"277-281",57,0,1,0,FALSE
"143","24.113.161.81",2,1,2,245,"201-289",57.5,0,1,0.707106781186548,TRUE
"144","24.113.162.106",2,1,1,336.5,"304-369",57,0,1,2.12132034355964,TRUE
"145","24.113.162.134",2,1,2,495.5,"446-545",57,0,1,2.12132034355964,TRUE
"146","24.113.162.201",3,2,3,350.333333333333,"24-547",58,0,1,6.2449979983984,TRUE
"147","24.113.162.206",2,1,2,431,"405-457",58,0,1,2.82842712474619,FALSE
"148","24.113.162.58",2,1,2,217.5,"200-235",57,0,1,0.707106781186548,TRUE
"149","24.113.162.75",3,1,2,853,"110-1959",58,0,1,5.19615242270663,FALSE
"150","24.113.163.123",2,1,2,1283.5,"581-1986",58,0,1,4.94974746830583,TRUE
"151","24.113.163.126",2,1,2,441.5,"361-522",59,0,1,1.4142135623731,TRUE
"152","24.113.163.43",2,1,2,273.5,"178-369",57,0,1,6.36396103067893,FALSE
"153","24.113.164.211",2,1,2,360.5,"336-385",58.5,0,1,4.94974746830583,TRUE
"154","24.113.165.164",2,1,2,447,"378-516",56.5,0,1,2.12132034355964,TRUE
"155","24.113.165.3",2,1,2,1580,"347-2813",57,0,1,0,FALSE
"156","24.113.165.50",2,1,2,311,"90-532",56.5,0,1,2.12132034355964,TRUE
"157","24.113.165.8",2,1,2,754.5,"343-1166",59,0,1,0.707106781186548,TRUE
"158","24.113.166.1",2,1,1,226,"173-279",57,0,1,1.4142135623731,TRUE
"159","24.113.166.179",2,1,2,711,"573-849",58,0,1,0.707106781186548,TRUE
"160","24.113.167.10",2,1,1,1060.5,"407-1714",58.5,0,1,2.12132034355964,TRUE
"161","24.113.167.248",2,1,1,604,"275-933",57,0,1,6.36396103067893,TRUE
"162","24.113.167.249",2,1,2,534.5,"335-734",56.5,0,1,0.707106781186548,TRUE
"163","24.113.167.52",2,1,2,431.5,"254-609",58,0,1,0,TRUE
"164","24.113.167.69",2,1,2,332.5,"214-451",57,0,1,3.53553390593274,FALSE
"165","24.113.167.87",2,1,2,344.5,"224-465",57,0,1,2.82842712474619,FALSE
"166","24.113.167.97",2,1,2,400,"300-500",57,0,1,7.77817459305202,FALSE
"167","24.113.168.17",2,1,2,476.5,"393-560",57.5,0,1,7.07106781186548,TRUE
"168","24.113.168.2",2,1,2,398.5,"348-449",58,0,1,5.65685424949238,FALSE
"169","24.113.168.42",2,1,2,648.5,"350-947",58,0,1,5.65685424949238,TRUE
"170","24.113.168.50",2,1,2,376.5,"376-377",57.5,0,1,0,TRUE
"171","24.113.168.51",2,1,2,1314.5,"1237-1392",57.5,0,1,0.707106781186548,TRUE
"172","24.113.169.136",2,1,2,1640,"762-2518",58,0,1,2.12132034355964,FALSE
"173","24.113.169.178",2,1,2,505.5,"461-550",58,0,1,2.82842712474619,FALSE
"174","24.113.169.194",2,1,2,344.5,"301-388",59,0,1,2.12132034355964,FALSE
"175","24.113.169.42",2,1,2,464,"426-502",58,0,1,0.707106781186548,TRUE
"176","24.113.170.102",2,1,2,917.5,"324-1511",57,0,1,7.07106781186548,FALSE
"177","24.113.170.215",2,1,2,1065,"396-1734",59,0,1,1.4142135623731,FALSE
"178","24.113.170.246",2,1,2,758.5,"318-1199",57.5,0,1,3.53553390593274,FALSE
"179","24.113.170.61",2,1,2,487.5,"271-704",57,0,1,0.707106781186548,FALSE
"180","24.113.171.251",3,1,3,810.333333333333,"450-1304",57,0,1,0.577350269189626,FALSE
"181","24.113.172.21",2,1,2,307.5,"160-455",58,0,1,5.65685424949238,FALSE
"182","24.113.172.212",2,1,2,576.5,"469-684",57,0,1,4.94974746830583,FALSE
"183","24.113.172.227",2,1,1,522.5,"355-690",57,0,1,5.65685424949238,TRUE
"184","24.113.172.239",3,2,2,564.333333333333,"484-667",59.6666666666667,0,1,3.78593889720018,FALSE
"185","24.113.172.241",3,2,3,283,"173-394",57,0,1,3.21455025366432,FALSE
"186","24.113.173.105",2,1,2,644,"473-815",57,0,1,1.4142135623731,FALSE
"187","24.113.173.171",2,1,2,732.5,"539-926",57.5,0,1,3.53553390593274,FALSE
"188","24.113.173.186",2,1,2,215,"193-237",57,0,1,4.24264068711928,FALSE
"189","24.113.173.197",2,1,2,421.5,"374-469",59,0,1,3.53553390593274,FALSE
"190","24.113.173.225",2,1,2,553,"494-612",58,0,1,0.707106781186548,TRUE
"191","24.113.173.93",2,1,2,851.5,"273-1430",58.5,0,1,0.707106781186548,TRUE
"192","24.113.174.233",2,1,2,491,"437-545",57,0,1,2.12132034355964,FALSE
"193","24.113.174.245",2,1,2,250,"233-267",60,0,1,5.65685424949238,FALSE
"194","24.113.174.249",2,1,1,304,"201-407",57.5,0,1,3.53553390593274,FALSE
"195","24.113.174.30",2,1,2,528,"342-714",57,0,1,1.4142135623731,FALSE
"196","24.113.175.150",2,1,2,590.5,"490-691",58,0,1,0.707106781186548,TRUE
"197","24.113.175.161",2,1,2,419,"402-436",57,0,1,0.707106781186548,FALSE
"198","24.113.175.178",2,1,1,1671,"551-2791",58.5,0,1,7.07106781186548,TRUE
"199","24.113.175.2",2,1,2,444.5,"226-663",57,0,1,0,FALSE
"200","24.113.175.240",2,1,2,336,"271-401",57,0,1,4.94974746830583,FALSE
"201","24.113.175.99",2,1,2,327.5,"290-365",57,0,1,5.65685424949238,FALSE
"202","24.113.20.120",2,1,1,1028.5,"591-1466",57.5,0,1,6.36396103067893,FALSE
"203","24.113.209.237",2,1,2,275,"169-381",58.5,0,1,0,FALSE
"204","50.47.223.115",2,1,2,382.5,"376-389",57,0,1,0,TRUE
"205","63.224.56.25",2,1,2,280,"193-367",57,0,1,4.24264068711928,FALSE
"206","64.146.141.34",3,2,3,580.666666666667,"472-658",57.6666666666667,0,1,1,TRUE
"207","64.146.145.202",2,1,2,205.5,"188-223",57.5,0,1,0.707106781186548,FALSE
"208","64.146.218.15",2,1,1,1825,"487-3163",57,0,1,0,FALSE
"209","64.184.145.144",3,1,2,299.333333333333,"278-317",57.3333333333333,0,1,7.50555349946513,TRUE
"210","64.184.145.182",2,1,1,319,"236-402",57.5,0,1,0.707106781186548,TRUE
"211","64.184.145.20",83,57,7,534.819277108434,"50-3206",57.6746987951807,0,1,2.8561351650622,FALSE
"212","64.184.145.233",2,1,2,667.5,"254-1081",61,0,1,1.4142135623731,TRUE
"213","64.184.145.47",2,1,2,837.5,"614-1061",57,0,1,6.36396103067893,FALSE
"214","64.184.145.7",3,2,3,357,"239-506",57.6666666666667,0,1,1.52752523165195,FALSE
"215","65.102.114.149",3,2,2,616.666666666667,"312-817",57,0,1,3.05505046330389,FALSE
"216","65.102.118.103",2,1,2,511,"471-551",57,0,1,5.65685424949238,FALSE
"217","65.102.118.20",2,1,2,230,"200-260",57,0,1,3.53553390593274,FALSE
"218","66.119.197.34",2,1,2,450.5,"352-549",59.5,0,1,1.4142135623731,FALSE
"219","66.133.58.11",2,1,1,462.5,"443-482",57.5,0,1,0.707106781186548,TRUE
"220","66.133.58.231",13,12,9,562.538461538462,"278-1139",57.3076923076923,0,1,5.79013307495096,FALSE
"221","66.133.58.232",12,2,11,475.583333333333,"282-846",57.5833333333333,0,1,5.82054876096643,FALSE
"222","66.96.64.66",9,2,8,551.888888888889,"211-1110",58,0,1,2.71313676601662,FALSE
"223","67.165.123.254",2,1,2,872,"650-1094",58,0,1,6.36396103067893,TRUE
"224","67.63.80.187",2,1,2,845.5,"787-904",58,0,1,0,FALSE
"225","71.212.111.141",2,1,2,467,"335-599",58,0,1,7.77817459305202,TRUE
"226","71.212.113.132",2,1,1,274.5,"226-323",56,0,1,2.82842712474619,TRUE
"227","71.212.118.35",2,1,2,281.5,"243-320",60.5,0,1,0,FALSE
"228","71.212.39.126",2,1,1,241,"228-254",57.5,0,1,0,TRUE
"229","71.212.97.169",2,1,2,483.5,"424-543",57.5,0,1,3.53553390593274,TRUE
"230","72.165.13.166",2,1,2,435,"241-629",58,0,1,4.24264068711928,TRUE
"231","72.208.64.109",4,1,1,357,"174-669",57,0,1,4.5,TRUE
"232","73.96.2.25",2,1,2,180,"84-276",56.5,0,1,2.12132034355964,FALSE
"233","75.172.45.157",2,1,2,366.5,"245-488",59.5,0,1,2.82842712474619,FALSE
"234","75.213.62.254",2,1,2,408.5,"331-486",58,0,1,0,FALSE
"235","76.140.16.190",2,1,2,372.5,"366-379",58,0,1,0,TRUE
"236","76.146.191.245",4,3,4,233.25,"95-306",57.75,0,1,1,FALSE
"237","76.50.212.164",2,1,2,368,"348-388",56.5,0,1,0.707106781186548,FALSE
"238","97.113.13.46",2,1,2,1135.5,"507-1764",58.5,0,1,0.707106781186548,TRUE
"239","97.113.169.67",2,1,2,1649,"225-3073",57.5,0,1,6.36396103067893,TRUE
"240","97.113.170.96",2,1,1,493.5,"373-614",58.5,0,1,2.12132034355964,FALSE
"241","97.113.179.202",2,1,1,348,"203-493",59,0,1,1.4142135623731,FALSE
"242","97.113.57.101",2,1,2,516.5,"389-644",58,0,1,9.19238815542512,FALSE
"243","97.113.6.162",2,1,2,240,"130-350",57,0,1,2.12132034355964,FALSE
"244","97.113.9.237",2,1,2,432.5,"348-517",57.5,0,1,1.4142135623731,TRUE
"245","97.126.115.25",2,1,2,615.5,"430-801",57,0,1,0,TRUE
"246","97.126.121.116",2,1,2,514.5,"327-702",56.5,0,1,6.36396103067893,FALSE
"247","98.239.91.167",2,1,2,369,"367-371",57,0,1,2.82842712474619,FALSE
"248","98.97.32.133",2,1,1,487.5,"385-590",57,0,1,2.82842712474619,TRUE
"249","98.97.32.27",2,1,1,455.5,"308-603",59,0,1,6.36396103067893,FALSE
"250","98.97.35.84",2,1,2,515,"436-594",58.5,0,1,0,TRUE
"251","98.97.36.43",2,1,2,604,"349-859",59.5,0,1,2.12132034355964,TRUE
"252","98.97.38.184",2,1,2,431,"325-537",57,0,1,2.12132034355964,TRUE
"253","98.97.41.222",2,1,2,443,"383-503",57,0,1,0,TRUE
"254","98.97.43.20",2,1,2,282,"259-305",58,0,1,0,TRUE
