Verified,resident_names_old,colnames.new
x,Response.ID,Response.ID
x,IP.address,IP.address
x,User.agent,User.agent
x,Response.status,Response.status
x,Survey.URL.accessed.by.the.respondent,Survey.URL
x,Start.time,Start.time
x,Completion.time,Completion.time
x,Time.taken,Time.taken
x,Collector,Collector
x,Do.you.live.in.Jefferson.County.,JeffCo.resident
x,In.which.city.or.area.do.you.live...select.one.,City.area
x,What.is.your.age...select.one.,Age
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..Under.7....Number.of.Individuals..,Under7
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..7.12....Number.of.Individuals..,7_12
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..13.18....Number.of.Individuals..,13_18
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..19.34....Number.of.Individuals..,19_34
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..35.54....Number.of.Individuals..,35_54
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..55.64....Number.of.Individuals..,55-64
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..65.74....Number.of.Individuals..,65_74
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..75.....Number.of.Individuals..,75_older
x,Mountain.View.Pool..located.in.Port.Townsend..is.Jefferson.County.s.only.public.pool..Built.in.1963..it.has.outlived.its.intended.lifespan..requires.significant.maintenance..and.is.closed.periodically.for.unexpected.major.repairs..Even.if.rehabilitated..the.size.and.design.are.not.capable.of.supporting.community.demand..It.lacks.the.accessibility.features.needed.for.many.children.s.programs.and.those.with.limited.mobility..Additionally..it.is.not.centrally.located.for.many.East.Jefferson.County.residents.In.your.opinion..how.important.is.it.to.have.a.new.public.aquatic.facility..The.proposed.building.site.is.located.in.Port.Hadlock..adjacent.to.the.County.Library.and.Chimacum.Creek.Primary.School..select.one.,RateNewPoolImportance
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Non.swimmer..,Under7_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Beginner..,Under7_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Intermediate..,Under7_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Advanced..,Under7_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Non.swimmer..,7_12_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Beginner..,7_12_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Intermediate..,7_12_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Advanced..,7_12_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Non.swimmer..,13_18_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Beginner..,13_18_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Intermediate..,13_18_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Advanced..,13_18_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Non.swimmer..,19_34_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Beginner..,19_34_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Intermediate..,19_34_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Advanced..,19_34_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Non.swimmer..,35_54_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Beginner..,35_54_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Intermediate..,35_54_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Advanced..,35_54_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Non.swimmer..,55-64_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Beginner..,55-64_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Intermediate..,55-64_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Advanced..,55-64_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..65.74.Years....Non.swimmer..,65_74_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..65.74.Years....Beginner..,65_74_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..65.74.Years....Intermediate..,65_74_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..65.74.Years....Advanced..,65_74_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..75..Years....Non.swimmer..,75_older_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..75..Years....Beginner..,75_older_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..75..Years....Intermediate..,75_older_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..75..Years....Advanced..,75_older_Advanced
x,Have.you.or.anyone.in.your.household.used.an.aquatic.facility.in.the.last.2.years...select.one.,UsedAquaticsPast2Years
x,Which.aquatic.facilities.did.you.or.a.member.of.your.household.use...select.all.that.apply.,WhichAquaticFacilities
x,How.often.do.you.or.a.member.of.your.household.use.an.aquatic.facility...select.one.,FacilityUsageRate
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Lap.swimming.,AquaAmenities_LapSwimming
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Recreational.open.swimming.,AquaAmenities_OpenSwim
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Youth.swimming.lessons.,AquaAmenities_YouthLessons
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Adult.swimming.lessons.,AquaAmenities_AdultLessons
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Competitive.swim.programs..youth.or.adult..,AquaAmenities_CompetitiveSwim
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Lifeguard.training.,AquaAmenities_LifeguardTrain
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Water.aerobics.water.walking.,AquaAmenities_Aerobics
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Synchronized.swimming.,AquaAmenities_SyncroSwim
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Recreational.team.water.sports.leagues..water.volleyball..water.polo..etc...,AquaAmenities_SportsLeagues
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Water.sports.safety.training..kayak..scuba..water.rescue..,AquaAmenities_SafetyTrain
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Therapeutic.use.,AquaAmenities_Therapeutic
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Pool.rentals..birthday.parties..events..etc...,AquaAmenities_PartyRental
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Parent.infant.and.children.s.water.play.,AquaAmenities_ParentChild
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Sauna.steam.room.,AquaAmenities_Sauna
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Hot.tub.spa.,AquaAmenities_HotTub
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Public.shower.,AquaAmenities_PublicShower
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Outdoor.unheated.pool.area.,AquaAmenities_OutdoorPool
x,To.help.define.the.design.for.a.new.public.aquatic.and.recreation.facility..please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below..Outdoor.splash.park.,AquaAmenities_SplashPark
x,If.you.had.access.to.a.new.facility.in.Port.Hadlock.that.could.accommodate.the.aquatic.programs.most.important.to.you..how.often.would.you.use.the.facility...select.one.,AquaAmenities_UsageRate
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Afterschool.programs.camps.,RecAmenities_AfterschoolCamps
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Preschool.,RecAmenities_Preschool
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Childcare.,RecAmenities_Childcare
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Parent.child.playgroups.,RecAmenities_Playgroups
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Group.fitness.classes..yoga..pilates..dance..etc...,RecAmenities_FitnessClass
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Physical.therapy.,RecAmenities_PhysTherapy
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Community.meeting.event.spaces.,RecAmenities_EventSpace
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Health.and.wellness.classes.,RecAmenities_WellnessClass
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Community.kitchen.,RecAmenities_Kitchen
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Cafe..coffee..juice.bar..etc...,RecAmenities_Cafe
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Gymnasium..open.gym..basketball..volleyball..,RecAmenities_Gym
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Outdoor.pickelball.,RecAmenities_OutPickleball
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Indoor.pickelball.,RecAmenities_InPickleball
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Bouldering.indoor.rock.climbing.,RecAmenities_RockClimb
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Teen.fitness.programs.,RecAmenities_TeenFit
x,Although.the.new.facility.is.intended.primarily.to.be.an.aquatic.center..there.may.be.potential.to.include.non.aquatic.programs..Please.identify.how.likely.you.or.members.of.your.household.would.be.to.participate.in.the.following.programs.if.they.were.offered..There.will.be.an.opportunity.at.the.end.of.the.survey.to.provide.comments.and.ideas.not.listed.below...Teen.activity.center.,RecAmenities_TeenCenter
x,If.you.had.access.to.a.new.facility.in.Port.Hadlock.that.could.accommodate.the.non.aquatic.programs.most.important.to.you..how.often.would.you.use.the.facility...select.one.,RecAmenities_UsageRate
x,Would.you.support.a.small..approximately.0.2...20.cents.per..100...county.wide.sales.tax..excluding.groceries.and.prescriptions..that.would.fund.a.portion.of.the.cost.of.constructing.a.new.aquatic.and.recreation.facility.in.Port.Hadlock...select.one.,TaxSupport
x,Do.you.have.additional.comments.about.the.current.efforts.to.build.a.new.aquatic.and.recreation.facility.in.East.Jefferson.County.or.suggestions.for.how.you.would.like.to.use.this.new.facility.,Comments
